SUPPLIER_NAME,ORG_ID,FY_START_DATE,FY_END_DATE,AWU_MISSING_DATA_FLAGS,AWU_VOLUME_UNIT_FLAG,PWSID_INCOMPLETE_DATA_FLAG,AWU_POTABLE_SF_RES_GAL,AWU_POTABLE_MF_RES_GAL,AWU_POTABLE_TOTAL_RES_GAL,AWU_RECYCL_RES_GAL,AWU_NONPOTABLE_NON_RECYCL_RES_GAL,AWU_NONPOTABLE_RES_IRR_GAL,AWU_NONPOTABLE_TOTAL_RES_GAL,AWU_RES_LAM_EXCLUDED_IRR_GAL,AWU_TOTAL_RES_GAL,AWU_TOTAL_RES_RGPCD,AWU_POTABLE_CII_DIMS_GAL,AWU_NONPOTABLE_CII_DIMS_GAL,AWU_TOTAL_CII_DIMS_GAL,AWU_RWL_TOTAL_GAL,AWU_TOTAL_OBJ_RELEVANT_DEMANDS_GAL,AWU_POTABLE_CI_GAL,AWU_POTABLE_I_GAL,AWU_POTABLE_O_GAL,AWU_NONPOTABLE_NONRES_GAL,AWU_TOTAL_EXCL_DEMANDS_GAL,AWU_POTABLE_COMM_AG_GAL,AWU_NONPOTABLE_COMM_AG_GAL,AWU_SF_RES_90PCTILE_GAL,AWU_MF_RES_90PCTILE_GAL,AWU_COST_OF_SERVICE_HIGHEST_USERS,AWU_COST_OF_SERVICE_ANALYSIS_LINK,AWU_RES_LAM_EXCLUDED_IRR_YN,AWU_RES_LAM_ASSOC_DIM_YN,AWU_RES_LAM_ASSOC_DIM_IRR_GAL,AWU_RES_LAM_SUPPLIER_CII_YN,AWU_RES_LAM_SUPPLIER_CII_GAL,AWU_COMMENTS
Alameda County Water District,23,2023-07-01,2024-06-30,,,,5250250000.0,2936140000.0,8186390000.0,0.0,0.0,0.0,0.0,,8186390000.0,65.19902835297866,874690000.0,0.0,874690000.0,451562000.0,9512642000.0,1813380000.0,858740000.0,1035450000.0,0.0,3707570000.0,0.0,0.0,1273721740.0,2029645424.0,0.0,https://acwd.org/DocumentCenter/View/4689/ACWD-Rate-Study-Final-Report-v3,No,Yes,0.0,No,,"ACWD's Cost of Service (CoS) Study does not break out costs specific to high and low users. The 2022 CoS Study is linked above. ACWD has completed a 2024 CoS Study and will publish it after the ACWD Board Approves it in the coming months.  ACWD’s RES LAM data provided by the Department included parcels and vegetated areas served by ACWD multifamily DIMs. In future reporting years, ACWD will determine the total number of meters included and their annual consumption.  The consumption from multifamily DIMs are reported under Multifamily Residential (not CII DIM) in the SAFER Clearinghouse. Therefore, both the square footage and the consumption for multifamily DIMs are being captured under the Residential Outdoor Standard. In future reporting years, ACWD will determine what areas are SLAs and if landscape areas served by multifamily DIMs would be better accounted for under the CII DIM Standard."
Alhambra  City Of,30,2023-07-01,2024-06-30,,,,873432995.72,1110590165.436,1984023161.156,0.0,0.0,0.0,0.0,,1984023161.156,64.9036405203353,100003331.62,35997010.292,136000341.912,152381939.193,2272405442.261,450200883.212,8919023.996000001,1027075.396,0.0,460146982.604,0.0,0.0,0.0,0.0,,,No,No,,No,,
Amador Water Agency,55,2023-07-01,2024-06-30,,,,513289673.87888,17161060.931999996,530450734.81088,0.0,0.0,59559252.0,59559252.0,,590009986.81088,68.64556299006634,9287065.580000002,0.0,9287065.580000002,163509000.0,762806052.39088,348980470.988,0.0,7152087.7694,0.0,356132558.7574,0.0,,137887397.12,11431684.0,,,No,No,,No,,
American Canyon  City Of,57,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,361377187.0,60576647.0,421953834.0,1666020.0,0.0,0.0,1666020.0,0.0,423619854.0,55.293108133684015,23687840.0,32912.0,23720752.0,68508222.48033448,515848828.48033446,265291082.0,0.0,591747.0,81579660.0,347462489.0,0.0,,,,,,,,0.0,,0.0,
Anaheim  City Of,64,2023-07-01,2024-06-30,,,,5732664057.900001,3491167614.0,9223831671.900002,0.0,0.0,0.0,0.0,0.0,9223831671.900002,74.95208997486533,478023417.0,127802020.71,605825437.71,148229619.9,9977886729.51,5803992841.799999,0.0,244811856.3,13034040.000000002,6061838738.099999,0.0,,1562413810.0,1975556326.48,,,Yes,Yes,1525809.0,Yes,0.0,"Anaheim is waiting on updated Residential and CII landscape area measurement data DWR is currently working on as part of technical assitance and which is expected be available in 2025.  Until the data is available and verified, Cells B36 and B40 under ""Landscapes misclassified or not captured in initial LAM analysis or not considered residential by supplier"" cannot be finalized."
Apple Valley Ranchos Water Company,87,2023-07-01,2024-06-30,,,,1822523745.12,0.0,1822523745.12,0.0,0.0,0.0,0.0,43128184.0,1779395561.12,77.5171940186932,135016361.85000002,429901188.51,564917550.36,237970339.2512537,2582283450.7312536,699875811.8399999,557205.21,12326943.330000002,0.0,712759960.38,0.0,0.0,568929548.0,0.0,0.0,0,Yes,Yes,23188.0,No,,"Liberty identified the total volume of deliveries to single family and multi family residential customers that are at or above the 90th percentile fo residential water use across the service area. Additonally, Liberty identified the volume of water that was delivered to residential landscapes not captured in the LAM data."
Arcata  City Of,94,2023-07-01,2024-06-30,,,,231867000.0,79975000.0,311842000.0,0.0,0.0,0.0,0.0,,311842000.0,40.13725659285993,0.0,0.0,0.0,102321000.0,414163000.0,124867000.0,21255000.0,0.0,0.0,146122000.0,0.0,,81881316.0,35108128.0,,,No,No,,No,,"Actual Residential Water Use (Potable and Non Potable), 90th Percentile Water Use    total volume of deliveries over the 90th percentile.  Categorization used by billing department does not clearly delineate between single family and multifamily residential; there is some known crossover between billing catergories of 'apartment' and 'residential'."
Arroyo Grande  City Of,99,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,440030275.6613737,72418645.49587491,512448921.1572486,0.0,0.0,0.0,0.0,0.0,512448921.1572486,78.15897383544845,53115343.55765653,0.0,53115343.55765653,33249071.610142738,598813336.3250479,96895561.95505162,0.0,0.0,0.0,96895561.95505162,0.0,,0.0,0.0,,,,,0.0,,0.0,
Atascadero Mutual Water Company,107,2023-07-01,2024-06-30,,,,1025934000.0,131479000.0,1157413000.0,0.0,0.0,0.0,0.0,,1157413000.0,103.56635053066644,112905000.0,0.0,112905000.0,230496000.0,1500814000.0,120606000.0,1088000.0,21000.0,0.0,121715000.0,0.0,,309162000.0,68249000.0,,,No,No,,No,,
Azusa Light and Water,117,2023-07-01,2024-06-30,,,,2536814887.856,0.0,2536814887.856,0.0,0.0,0.0,0.0,,2536814887.856,63.158171049288875,0.0,0.0,0.0,365264907.9997191,2902079795.855719,1196712644.144,621757632.7880001,1648706.608,0.0,1820118983.54,0.0,0.0,0.0,0.0,0.0,0,No,No,,No,,Missing parcels have been identified but we have not identified which are new builds to provide consumption data.
